Archivo Origen;ID Interseccion;Direccion;Zona;Version;Fecha;PS;Ciclo
3014_20210514_Planeamiento.pdf;NO_PROCESADA_PDF_IMAGEN;;;;;;
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;3;100
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;4;100
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;5;90
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;6;90
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;7;75
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;8;60
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120
3090_20240910_Planeamiento_SCC.pdf;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;1;90
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;2;120
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;3;120
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;4;120
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;5;120
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;6;100
3082_20251024_Planeamiento_SCC.pdf;3082;KR 12D X CL 28C S;3617;SEMA_3082_Versión1.sop6;06/03/2025 6:50:07;7;90
2935_20250430_Planeamiento.pdf;2935;KR 104 X DG 16;2401;SEMA_2935_Versión1.sop6;28/03/2025 15:05;1;120
2935_20250430_Planeamiento.pdf;2935;KR 104 X DG 16;2401;SEMA_2935_Versión1.sop6;28/03/2025 15:05;2;120
2935_20250430_Planeamiento.pdf;2935;KR 104 X DG 16;2401;SEMA_2935_Versión1.sop6;28/03/2025 15:05;3;120
