Archivo Origen;ID Interseccion;Direccion;Zona;Version;Fecha;PS;Ciclo;Grupo de Senales;TVI;TVF;TFD;RES;Pagina
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;1A;57;5;48;43;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;1B;57;5;48;40;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;2A;57;5;48;43;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;2B;57;5;48;40;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;5;13;49;36;31;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;94;11;53;42;37;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;22;14;41;27;20;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;294;57;4;47;40;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;31;16;38;22;15;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;1;100;35;60;5;45;38;8
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;1A;45;95;50;45;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;1B;45;96;51;43;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;2A;45;96;51;46;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;2B;45;96;51;43;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;5;4;36;32;27;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;94;2;41;39;34;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;22;5;29;24;17;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;294;45;95;50;43;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;31;7;26;19;12;9
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;2;100;35;47;96;49;42;9
