Externo,Corredor,Sensor,Analisis
1022,CARRERA_7,W.1.1,INGRESO
1022,CARRERA_7,W.1.2,INGRESO
1022,CARRERA_7,W.1.3,INGRESO
1022,CARRERA_7,W.2.1,SALIDA
1022,CARRERA_7,W.2.2,SALIDA
1022,CARRERA_7,W.2.3,SALIDA
1505,CALLE_80,W.3A.1,INGRESO
1505,CALLE_80,W.3A.2,INGRESO
1505,CALLE_80,W.3A.3,INGRESO
1505,CALLE_80,W.3B.1,INGRESO
1505,CALLE_80,W.3B.2,INGRESO
1505,CALLE_80,W.4A.1,SALIDA
1505,CALLE_80,W.4A.2,SALIDA
1505,CALLE_80,W.4A.3,SALIDA
1505,CALLE_80,W.4B.1,SALIDA
1505,CALLE_80,W.4B.2,SALIDA
1608,VIA_COTA,W.1.1,INGRESO
1608,VIA_COTA,W.2.1,SALIDA
1608,VIA_COTA,W.4.1,SALIDA
2915,CALLE_13,W.4.1,SALIDA
2915,CALLE_13,W.4.2,SALIDA
2915,CALLE_13,W.4.3,SALIDA
2915,CALLE_13,W.1.1,SALIDA
2915,CALLE_13,W.3.1,INGRESO
2915,CALLE_13,W.3.2,INGRESO
2915,CALLE_13,W.3.3,INGRESO
3005,VIA_AL_LLANO,W.4.1,INGRESO
3005,VIA_AL_LLANO,W.4.2,INGRESO
3005,VIA_AL_LLANO,W.4.3,INGRESO
3005,VIA_AL_LLANO,W.3.1,SALIDA
3005,VIA_AL_LLANO,W.3.2,SALIDA
3005,VIA_AL_LLANO,W.3.3,SALIDA
3678,AUTOPISTA_SUR,W.4A.1,SALIDA
3678,AUTOPISTA_SUR,W.4A.2,SALIDA
3678,AUTOPISTA_SUR,W.4A.3,SALIDA
3681,AUTOPISTA_SUR,W.3A.1,INGRESO
3681,AUTOPISTA_SUR,W.3A.2,INGRESO
3681,AUTOPISTA_SUR,W.3A.3,INGRESO
