size_in_MB,id,name,creation,last_modification,type_of_file,date,mes,Estado,num
"0,65",1GUapucyR7TlfP3h7P1482ETHz9hUHoDP,Detector-Measurement Point-Traffic Data - Processed-260302_260302.csv,2026-03-03T16:28:11.234Z,2026-03-03T05:15:33.741Z,text/csv,2026-03-02,2603,Pendiente,0
"0,65",1xpZiFHD_qUiVGWprwFcxVWGDQBq5_YN2,Detector-Measurement Point-Traffic Data - Processed-260301_260301.csv,2026-03-03T16:29:24.182Z,2026-03-02T05:14:22.863Z,text/csv,2026-03-01,2603,Pendiente,0
"0,65",1CQO38-1qdwKSzNkde6mLz3Agnv2SI-9Y,Detector-Measurement Point-Traffic Data - Processed-260228_260228.csv,2026-03-03T16:27:41.761Z,2026-03-01T05:14:47.455Z,text/csv,2026-02-28,2602,Pendiente,0
"0,65",1eNC9YVhoAcxRH64kd3xWOtg2Q0JnCr1u,Detector-Measurement Point-Traffic Data - Processed-260227_260227.csv,2026-03-03T16:29:40.608Z,2026-02-28T05:16:13.097Z,text/csv,2026-02-27,2602,Pendiente,0
"0,65",1PIa1tSVBdEnrd4yu5940pD1EfC7R4tg_,Detector-Measurement Point-Traffic Data - Processed-260226_260226.csv,2026-03-03T16:27:48.062Z,2026-02-27T05:18:03.569Z,text/csv,2026-02-26,2602,Procesado,319175
"0,65",1GymG5lXOoALe3Pdxk6UhBhv9A-YuX32f,Detector-Measurement Point-Traffic Data - Processed-260225_260225.csv,2026-03-03T16:27:51.048Z,2026-02-26T05:15:34.873Z,text/csv,2026-02-25,2602,Procesado,337790
"0,65",1Nv_bTm0mV31iSDhBzoQGBbUt_bHC1qZl,Detector-Measurement Point-Traffic Data - Processed-260224_260224.csv,2026-03-03T16:29:08.192Z,2026-02-25T05:14:41.713Z,text/csv,2026-02-24,2602,Procesado,340314
"0,65",115yOd09CwApZ62KP-zHbsxCUf3nsUIig,Detector-Measurement Point-Traffic Data - Processed-260223_260223.csv,2026-03-03T16:29:40.012Z,2026-02-24T05:14:52.762Z,text/csv,2026-02-23,2602,Procesado,338830
"0,66",1QffX3zRitv7bjSxgspBpovYsEJR3vku_,Detector-Measurement Point-Traffic Data - Processed-260222_260222.csv,2026-03-03T16:28:48.077Z,2026-02-23T05:14:35.313Z,text/csv,2026-02-22,2602,Procesado,342776
"0,66",1zKhTTT-RoUKaNh54FrRbR7JQx4cLSeEt,Detector-Measurement Point-Traffic Data - Processed-260221_260221.csv,2026-03-03T16:29:46.476Z,2026-02-22T05:15:05.234Z,text/csv,2026-02-21,2602,Procesado,339593
"0,66",1mzzlRYwoRGuSEIkcM8YxERQBY_Y0ISed,Detector-Measurement Point-Traffic Data - Processed-260220_260220.csv,2026-03-03T16:29:52.951Z,2026-02-21T05:16:16.219Z,text/csv,2026-02-20,2602,Procesado,343945
"0,66",1xev5OSs7X0XlcB12bFbBs2qdaq3i65hp,Detector-Measurement Point-Traffic Data - Processed-260219_260219.csv,2026-03-03T16:28:56.031Z,2026-02-20T05:15:09.015Z,text/csv,2026-02-19,2602,Procesado,345671
"0,66",1yezs5XgvIJjQRK96rmxRT75Cx6SE70GG,Detector-Measurement Point-Traffic Data - Processed-260218_260218.csv,2026-03-03T16:29:55.937Z,2026-02-19T05:15:51.482Z,text/csv,2026-02-18,2602,Procesado,342488
"0,66",1Rs53tFp-lTwUIMSPWspRbPAQP_MKhRIC,Detector-Measurement Point-Traffic Data - Processed-260217_260217.csv,2026-03-03T16:29:28.988Z,2026-02-18T05:14:26.583Z,text/csv,2026-02-17,2602,Procesado,339947
"0,66",1XpSHqZ1xJ61AeNMz7Ta4lR8BQg9AAfTo,Detector-Measurement Point-Traffic Data - Processed-260216_260216.csv,2026-03-03T16:28:07.443Z,2026-02-17T05:14:48.987Z,text/csv,2026-02-16,2602,Procesado,337596
